global_document	document_number	document_name	product	disease_state	num_pages	unique_global_page_count	reuse_p
1509209	BCL2-AA-00128-FM	M20-356  (ReVenG) Clinical Trial Summary Sheet (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	1	1	100.0
1542494	BCL2-AA-00130-FM	VIALE-T (M19-063) Protocol Overview (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	66	50	75.75757575757575
1543815	BCL2-AA-00131-FM	CLL13 Proactive Deck (v11.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	20	3	15.0
1584944	BCL2-AA-00142-FM	MURANO Core 5 year Update  - Compelling Content (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	48	36	75.0
1669666	BCL2-AA-00149-FM	COVID-19 Vaccine Response in CLL - Proactive Communication Deck (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	22	2	9.090909090909092
1753125	BCL2-AA-00156-FM	Managing Potential Drug-Drug Interactions with Venetoclax (Print) (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	9	1	11.11111111111111
1753607	BCL2-AA-00157-FM	AbbVie Venetoclax Production Critical Steps_Presentation (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), Hematologic Malignancies	18	4	22.22222222222222
1794057	BCL2-AA-00159-FM	EHA ASCO 2022 AML Highlights (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	59	8	13.559322033898304
1817770	EPCO-AA-00023-FM	Reactive ASCO-EHA 2022 Key Highlights_GMA (v1.0)	Epcoritamab, Navitoclax, Telisotuzumab Vedotin, Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS), Myelofibrosis, Non-Hodgkin's Lymphoma (NHL), Non-small Cell Lung Cancer (NSCLC), Solid Tumor	88	13	14.772727272727273
1851581	BCL2-AA-00165-FM	Murano IGHV unmutated Focus Deck (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	33	13	39.39393939393939
1851584	BCL2-AA-00166-FM	Murano del(17p)/TP53mut Focus Deck (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	34	10	29.411764705882355
1891919	BCL2-AA-00170-FM	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	46	9	19.565217391304348
1930370	BCL2-AA-00172-FM	Venetoclax in AML FAQs (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	249	176	70.68273092369478
1939676	RISN-AA-00395-FM	Risankizumab CD - Global IMA (v4.0)	Risankizumab	Crohns Disease (CD)	115	81	70.43478260869566
2017019	BCL2-AA-00179-FM	Murano del(17p)/TP53mut Focus Deck (reactive) (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	34	9	26.47058823529412
2277645	JAKa-AA-00573-FM	Upadacitinib CD - Global IMA (v3.0)	Upadacitinib	Crohns Disease (CD)	147	40	27.2108843537415
2379863	EPCO-AA-00032-FM	Epcoritamab Dosing Guide (v3.0)	Epcoritamab	DLBCL	6	6	100.0
2379864	EPCO-AA-00033-FM	Epcoritamab Safety Management Card (v3.0)	Epcoritamab	DLBCL	4	4	100.0
2455704	BCL2-AA-00187-FM	VIALE-M Protocol Training Slides (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML), Hematologic Malignancies	53	9	16.9811320754717
2686466	RISN-AA-00436-FM	FutureIBD 2023 Workshop F: Using data to support clinical decision-making in CD  (risa and upa) (v2.0)	Risankizumab, Upadacitinib	Crohns Disease (CD)	47	4	8.51063829787234
2772786	JAKa-AA-00596-FM	Understanding Gastrointestinal Perforations in Patients with IBD (v1.0)	Upadacitinib	Crohns Disease (CD), Inflammatory Bowel Disease (IBD), Ulcerative Colitis (UC)	35	2	5.714285714285714
2800057	RISN-AA-00435-FM	RZB CD Real Life Handling Study - Overview Deck (v1.2)	Risankizumab	Crohns Disease (CD)	15	3	20.0
2863222	BCL2-AA-00196-FM	VIALE T poster EBMT 2023 (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML)	18	12	66.66666666666666
2937776	JAKa-AA-00606-FM	Manuscript Overview Deck: UPA as Induction & Maintenance Therapy for CD (v1.0)	Upadacitinib	Crohns Disease (CD)	29	10	34.48275862068966
2966196	BCMA-AA-00010-FM	Oncology Congress Compendia 2023 (v5.0)	Epcoritamab, Etentamig, Venclyxto	Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS)	338	4	1.183431952662722
3038507	BCL2-AA-00202-FM	Venetoclax and Treatment Sequencing in CLL (v9.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	62	41	66.12903225806451
3057891	cMET-AA-00028-FM	MSL Reactive Slide Deck- AML, CLL, MM AND NSCLC​ (v1.0)	Telisotuzumab Vedotin, Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), Multiple Myeloma (MM), Non-small Cell Lung Cancer (NSCLC)	38	11	28.947368421052634
3093083	BCMA-BG-00001-FM	Oncology Congress Compendia 2023 (v1.0)	Epcoritamab, Etentamig, Venclyxto	Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS)	229	5	2.1834061135371177
3231035	EPCO-AA-00041-FM	Epcoritamab ICANS Management Deck (Launch) (v5.0)	Epcoritamab	DLBCL	21	11	52.38095238095239
3231150	EPCO-AA-00042-FM	Epcoritamab CRS Management Deck (Launch) (v4.0)	Epcoritamab	DLBCL	36	26	72.22222222222221
3231192	EPCO-AA-00043-FM	Epcoritamab Dosing Guide Poster (v4.0)	Epcoritamab	DLBCL	2	2	100.0
3231234	EPCO-AA-00044-FM	Epcoritamab SmPC Deck (v3.0)	Epcoritamab	DLBCL	22	10	45.45454545454545
3249915	BCL2-AA-00220-FM	REVENG (M20-356) STV Deck 2024 (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	47	44	93.61702127659575
3261922	BCL2-AA-00221-FM	VIALE T v7 protocol deck for external use with VIALE T sites only (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML)	69	46	66.66666666666666
3290367	RISN-AA-00450-FM	SEQUENCE initial press release FAQ (v1.0)	Risankizumab	Crohns Disease (CD)	5	2	40.0
3383320	RISN-AA-00452-FM	RZB CD SEQUENCE Trial Infographic (v2.0)	Risankizumab	Crohns Disease (CD)	1	1	100.0
3418967	RISN-AA-00453-FM	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	Risankizumab	Crohns Disease (CD)	14	11	78.57142857142857
342038	BCL2-AA-00001-FM	AML Reactive Library - AbbVie-Sponsored Trials (RL1) (v15.0)	Venclyxto	Acute Myeloid Leukemia (AML)	513	75	14.619883040935672
3484766	EPCO-AA-00047-FM	Epcoritamab FAQ (v1.0)	Epcoritamab	DLBCL	69	10	14.492753623188406
3523924	BCL2-AA-00232-FM	Patient VUE - Interactive Patient Case (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	82	12	14.634146341463413
3602194	JAKa-AA-00646-FM	RINVOQ IBD Malignancies deck - SAFETY SERIES (v1.0)	Upadacitinib	Crohns Disease (CD), Ulcerative Colitis (UC)	59	2	3.389830508474576
3649708	EPCO-AA-00049-FM	Epcoritamab M20-621 Study Design and Key Eligibility Criteria Infographic (v1.0)	Epcoritamab	DLBCL	4	2	50.0
3676555	EPCO-AA-00050-FM	2023_ASH EPCOR FAQs (v1.0)	Epcoritamab	DLBCL	15	4	26.666666666666668
3688927	BCMA-AA-00016-FM	ASH 2023 Congress Compendia (v4.0)	Epcoritamab, Etentamig, Navitoclax, Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Hematologic Malignancies, Mantle Cell Lymphoma, Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS), Myelofibrosis, Non-Hodgkin's Lymphoma (NHL)	325	4	1.2307692307692308
3776677	BCL2-AA-00239-FM	Venetoclax Therapy Management in AML Core Deck (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	51	13	25.49019607843137
3783359	EPCO-AA-00051-FM	Epcoritamab M22-128 Study Design and Key Eligibility Criteria Infographic (v1.0)	Epcoritamab	DLBCL	4	1	25.0
3802384	RISN-AA-00462-FM	RZB CD Maintenance at 52 weeks Pub Deck (v1.2)	Risankizumab	Crohns Disease (CD)	17	6	35.294117647058826
3892923	BCL2-AA-00240-FM	AML Reactive Library - IIS & Collaborative Studies (RL2) (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	587	35	5.9625212947189095
3892927	BCL2-AA-00241-FM	AML Reactive Library - RWE (RL3) (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	208	9	4.326923076923077
3914728	RISN-AA-00463-FM	Riza CD - SEQUENCE Interactive Infographics (v4.0)	Risankizumab	Crohns Disease (CD)	19	7	36.84210526315789
3941456	CMTP-AA-00003-FM	2024 JSMO Congress Compendia (v1.0)	ABBV-706, Epcoritamab, Telisotuzumab Adizutecan, Telisotuzumab Vedotin	DLBCL, Follicular Lymphoma, Non-small Cell Lung Cancer (NSCLC), Solid Tumor	128	3	2.34375
394779	BCL2-AA-00007-FM	MURANO FAQ Reactive Deck (v6.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	55	9	16.363636363636363
4098335	JAKa-AA-00665-FM	myDataVizTool IMA - Upadacitinib CD (v1.0)	Upadacitinib	Crohns Disease (CD)	49	5	10.204081632653061
4148713	ABBV-AA-00676-FM	2024 VASCULITIS WORKSHOP BCN, Immunology Pipeline Table, Medical Booth. (v1.0)	AbbVie, Lutikizumab, Risankizumab, Upadacitinib	Ankylosing Spondylitis (AS), Atopic Dermatitis (AD), Crohns Disease (CD), Giant Cell Arteritis (GCA), Hidradenitis Suppurativa (HS), Juvenile Idiopathic Arthritis (JIA), Non-radiographic Axial Spondyloarthropathy (nrAxSpA), Pediatric Psoriasis (Ped Ps), Psoriasis (Ps), Psoriatic Arthritis (PsA), Rheumatoid Arthritis (RA), Systemic Lupus Erythematosus, Systemic Sclerosis (SSc), Ulcerative Colitis (UC), Vitiligo	1	1	100.0
4149272	EPCO-AA-00053-FM	FL Interactive Tool (v2.0)	Epcoritamab	Follicular Lymphoma	133	49	36.84210526315789
4185914	RISN-AA-00467-FM	Skyrizi Ph3 CD SC Induction (M23-784 - AFFIRM) FAQ (v1.0)	Risankizumab	Crohns Disease (CD)	5	1	20.0
4189403	ABBV-AA-00679-FM	Global P_Future of Immunology (v1.0)	AbbVie	Adolescent Hidradenitis Suppurativa (HS), Alopecia Areata, Ankylosing Spondylitis (AS), Atopic Dermatitis (AD), Crohns Disease (CD), Hidradenitis Suppurativa (HS), Immunology Cross-TA, Inflammatory Bowel Disease (IBD), Non-radiographic Axial Spondyloarthropathy (nrAxSpA), Psoriasis (Ps), Psoriatic Arthritis (PsA), Rheumatoid Arthritis (RA), Ulcerative Colitis (UC)	37	26	70.27027027027027
4232369	BCL2-AA-00245-FM	IGHV Focus Deck (CLL14) (v4.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	80	30	37.5
4258308	BCL2-AA-00251-FM	M24-287 Clinical Trial Summary Sheet (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	1	1	100.0
4281628	BCL2-AA-00256-FM	VIALE-A LTFU Infographic (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	1	1	100.0
4288857	EPCO-AA-00055-FM	Epcoritamab DLBCL Vial to Vial Proactive iPad/iPhone Format (v2.0)	Epcoritamab	DLBCL	1	1	100.0
4289001	EPCO-AA-00056-FM	Epcoritamab DLBCL Vial to Vial Proactive Print Format (v2.0)	Epcoritamab	DLBCL	2	1	50.0
4289069	EPCO-AA-00057-FM	Epcoritamab DLBCL Syringe to Syringe Reactive iPad/iPhone Format (v2.0)	Epcoritamab	DLBCL	1	1	100.0
4289145	EPCO-AA-00058-FM	Epcoritamab DLBCL Syringe to Syringe Reactive Print Format (v2.0)	Epcoritamab	DLBCL	2	2	100.0
4289218	EPCO-AA-00059-FM	Epcoritamab CDP- Investigator Only (v1.0)	Epcoritamab	Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Mantle Cell Lymphoma	21	12	57.14285714285714
4289224	EPCO-AA-00060-FM	Epcoritamab Clinical Development Program (v1.0)	Epcoritamab	Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Mantle Cell Lymphoma	21	7	33.33333333333333
4303797	BCL2-AA-00257-FM	Crushed and Ground Venetoclax Tablets poster presentation (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	15	6	40.0
4441341	EPCO-AA-00061-FM	ASCO 2024 Hematology Compendium (v1.0)	Epcoritamab, Venclyxto	Acute Lymphoblastic Leukemia (ALL), Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Mantle Cell Lymphoma, Multiple Myeloma (MM)	187	9	4.81283422459893
4504346	BCMA-AA-00022-FM	2024 EHA Congress Compendia (v1.0)	Epcoritamab, Etentamig, Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Mantle Cell Lymphoma, Multiple Myeloma (MM), Non-Hodgkin's Lymphoma (NHL)	323	10	3.0959752321981426
4636337	BCL2-AA-00261-FM	Venetoclax Therapy Management in AML Core Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	44	7	15.909090909090908
4636715	BCL2-AA-00260-FM	M19-072 Outpatient Study Story Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	26	12	46.15384615384615
4647885	BCL2-AA-00262-FM	RWE Deck (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	108	48	44.44444444444444
4665621	BCL2-AA-00263-FM	Bazinet A, et al. ASCO 2024 & Willekens C, et al. EHA 2024 deck (v3.0)	Venclyxto	Acute Myeloid Leukemia (AML)	29	1	3.4482758620689653
4720028	RISN-AA-00471-FM	SEQUENCE Manuscript Infographic PPT (v2.0)	Risankizumab	Crohns Disease (CD)	21	5	23.809523809523807
4783093	BCL2-AA-00268-FM	VENETIAN (M24-287) STV Deck (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	60	53	88.33333333333333
522320	BCL2-AA-00013-FM	Venetoclax and Treatment Sequencing in CLL (v6.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	65	11	16.923076923076923
5223216	EPCO-AA-00063-FM	NHL Bispecific Journal Club (v2.0)	Epcoritamab	DLBCL, Follicular Lymphoma	55	12	21.818181818181817
546842	BCL2-AA-00016-FM	Venetoclax Therapy Management in AML Core Deck (v8.0)	Venclyxto	Acute Myeloid Leukemia (AML)	44	6	13.636363636363635
5654047	BCL2-AA-00271-FM	VEN+HMA Genetic Risk Stratification Story Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	37	3	8.108108108108109
5684395	EPCO-AA-00064-FM	M22-003 MSL STV Deck Protocol Version 2 (v2.0)	Epcoritamab	DLBCL	66	49	74.24242424242425
5892553	EPCO-AA-00066-FM	Epcoritamab Comprehensive Reactive Deck (v1.0)	Epcoritamab	DLBCL	371	87	23.450134770889488
5958082	BCL2-AA-00275-FM	AMPLIFY ASH 2024 Reactive Deck (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	21	10	47.61904761904761
6019531	EPCO-AA-00068-FM	EPCORE NHL-1 DLBCL Infographic Deck (v1.0)	Epcoritamab	DLBCL	65	5	7.6923076923076925
6066940	JAKa-AA-00713-FM	UPA CD Fistulizing Overview Infographic Deck (v1.0)	Upadacitinib	Crohns Disease (CD)	17	2	11.76470588235294
6137173	EPCO-AA-00071-FM	2024 ASH Congress Compendia (v2.0)	Epcoritamab	Chronic Lymphocytic Leukemia (CLL), DLBCL, Follicular Lymphoma, Multiple Myeloma (MM)	405	9	2.2222222222222223
6140695	EPCO-AA-00072-FM	M22-003 Protocol V4 Interactive Trial Summary (v1.0)	Epcoritamab	Follicular Lymphoma	11	1	9.090909090909092
621280	BCL2-AA-00026-FM	CLL-14 Core Study Deck (v20.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	100	43	43.0
6292002	EPCO-AA-00073-FM	M22-003 STV Deck Protocol V4 (v1.0)	Epcoritamab	Follicular Lymphoma	66	33	50.0
6459676	EPCO-AA-00074-FM	FL Dosing Infographic - Syringe to Syringe Print format (v1.0)	Epcoritamab	Follicular Lymphoma	2	1	50.0
6459680	EPCO-AA-00076-FM	FL Dosing Infographic Vial to Vial Print format (v1.0)	Epcoritamab	Follicular Lymphoma	2	1	50.0
6459681	EPCO-AA-00077-FM	FL Dosing Infographic Vial to Vial iPad (v2.0)	Epcoritamab	Follicular Lymphoma	1	1	100.0
6530721	EPCO-AA-00079-FM	M22-128 Clinical Trial Summary Protocol Version 4 (v1.0)	Epcoritamab	DLBCL	12	1	8.333333333333332
6530931	EPCO-AA-00078-FM	M22-128 STV Deck Protocol Version 4 (v1.0)	Epcoritamab	DLBCL	67	24	35.82089552238806
703483	BCL2-AA-00034-FM	MRD in patients with CLL (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	33	6	18.181818181818183
715049	BCL2-AA-00035-FM	Debulking Strategies with Venetoclax in CLL (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	38	1	2.631578947368421
717013	BCL2-AA-00036-FM	Neutropenia in Venetoclax CLL Trials (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	68	9	13.23529411764706
726492	BCL2-AA-00037-FM	MURANO Core Deck (v17.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	148	63	42.567567567567565
760856	BCL2-AA-00041-FM	Viale-C Data CT.gov (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	17	2	11.76470588235294
779856	BCL2-AA-00047-FM	Venetoclax SmPC 1L CLL Approval (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	23	5	21.73913043478261
788167	BCL2-AA-00049-FM	VIALE A Press Release FAQ (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML)	24	7	29.166666666666668
835795	BCL2-AA-00056-FM	VIALE A EHA Abstract Data Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	15	5	33.33333333333333
835797	BCL2-AA-00057-FM	VIALE A EHA Abstract FAQ (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	62	23	37.096774193548384
835798	BCL2-AA-00058-FM	VIALE A EHA Oral Data Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	23	6	26.08695652173913
835800	BCL2-AA-00059-FM	VIALE A EHA Oral FAQ (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	75	16	21.333333333333336
860424	BCL2-AA-00061-FM	Venetoclax Dosing and Administration Guide (CLL/AML) (v4.0)	Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL)	33	14	42.42424242424242
860425	BCL2-AA-00062-FM	Pan Ven Cross-indication Scientific Story (v1.0)	Venclyxto	Acute Lymphoblastic Leukemia (ALL), Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL), Chronic Myeloid Leukemia (CML), Hematologic Malignancies, Multiple Myeloma (MM)	114	27	23.684210526315788
894858	BCL2-AA-00063-FM	VIALE-A Core Deck (v10.0)	Venclyxto	Acute Myeloid Leukemia (AML)	129	14	10.852713178294573
930731	APD1-AA-00001-FM	AbbVie R & D Pipeline Overview (v18.0)	ABBV-0805, ABBV-154, ABBV-157, ABBV-368, ABBV-599, ABBV-621, ABBV-927, AGN-151607, AGN-190584, Abicipar, Armour Thyroid, Atogepant, Bimatoprost Implant, Bimatoprost Ring, Budigalimab, Creon, Duodopa, Elagolix, Foslevodopa/Foscarbidopa, Humira, Linaclotide, Lo Loestrin FE, Lumigan 0.01, Maviret, Navitoclax, Ozurdex, Refresh Brand, Restasis, Risankizumab, Telisotuzumab Vedotin, Ubrelvy, Upadacitinib, Veliparib, Venclyxto, Vraylar, Xen	Acute Myeloid Leukemia (AML), Ankylosing Spondylitis (AS), Atopic Dermatitis (AD), Chronic Lymphocytic Leukemia (CLL), Crohns Disease (CD), Cystic Fibrosis (CF), Diabetic Retinopathy, Dry Eye Disease (DED), Eyelashes, Giant Cell Arteritis (GCA), Hematologic Malignancies, Hepatitis C Virus (HCV), Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS), Myelofibrosis, Non-small Cell Lung Cancer (NSCLC), Parkinson's Disease (PD), Prostate Cancer, Psoriasis (Ps), Psoriatic Arthritis (PsA), Rheumatoid Arthritis (RA), Small Cell Lung Cancer (SCLC), Solid Tumor, Spondyloarthropathy (SpA), Systemic Lupus Erythematosus, Ulcerative Colitis (UC), Vitiligo	10	1	10.0
