global_document	global_page	document_name	document_number	disease_state
1891919	19	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	15	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	33	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	4	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	26	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	44	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	21	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	14	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
1891919	27	CLL13 & CLL14 unmutated IGHV; Focus deck (v2.0)	BCL2-AA-00170-FM	Chronic Lymphocytic Leukemia (CLL)
2379863	2	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2379863	6	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2379863	4	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2379863	3	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2379863	5	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2379863	1	Epcoritamab Dosing Guide (v3.0)	EPCO-AA-00032-FM	DLBCL
2800057	2	RZB CD Real Life Handling Study - Overview Deck (v1.2)	RISN-AA-00435-FM	Crohns Disease (CD)
2800057	3	RZB CD Real Life Handling Study - Overview Deck (v1.2)	RISN-AA-00435-FM	Crohns Disease (CD)
2800057	14	RZB CD Real Life Handling Study - Overview Deck (v1.2)	RISN-AA-00435-FM	Crohns Disease (CD)
6459680	2	FL Dosing Infographic Vial to Vial Print format (v1.0)	EPCO-AA-00076-FM	Follicular Lymphoma
4289069	1	Epcoritamab DLBCL Syringe to Syringe Reactive iPad/iPhone Format (v2.0)	EPCO-AA-00057-FM	DLBCL
3783359	2	Epcoritamab M22-128 Study Design and Key Eligibility Criteria Infographic (v1.0)	EPCO-AA-00051-FM	DLBCL
3383320	1	RZB CD SEQUENCE Trial Infographic (v2.0)	RISN-AA-00452-FM	Crohns Disease (CD)
522320	20	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	33	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	31	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	4	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	57	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	21	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	24	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	22	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	38	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	34	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
522320	43	Venetoclax and Treatment Sequencing in CLL (v6.0)	BCL2-AA-00013-FM	Chronic Lymphocytic Leukemia (CLL)
4665621	28	Bazinet A, et al. ASCO 2024 & Willekens C, et al. EHA 2024 deck (v3.0)	BCL2-AA-00263-FM	Acute Myeloid Leukemia (AML)
726492	101	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	91	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	55	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	127	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	15	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	114	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	123	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	13	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	130	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	31	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	112	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	22	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	103	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	57	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	48	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	53	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	116	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	107	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	125	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	111	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	102	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	21	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	92	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	119	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	47	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	52	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	115	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	25	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	106	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	7	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	124	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	14	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	113	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	58	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	54	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	90	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	117	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	108	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	45	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	100	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	98	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	1	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	20	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	37	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	46	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	132	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	42	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	40	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	121	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	129	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	17	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	134	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	71	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	80	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	12	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	120	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	38	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	65	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	133	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	16	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	43	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	131	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
726492	122	MURANO Core Deck (v17.0)	BCL2-AA-00037-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	20	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	2	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	19	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	37	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	28	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	33	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	24	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	6	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	31	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	22	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	4	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	17	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	26	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	8	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	30	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	21	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	3	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	29	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	16	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	34	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	25	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	7	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	32	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	23	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	5	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	36	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	27	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	9	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	10	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1014224	18	Prevention of TLS with Venetoclax in CLL (v9.0)	BCL2-AA-00074-FM	Chronic Lymphocytic Leukemia (CLL)
1141698	684	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	99	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	136	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	55	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	37	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	361	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	127	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	46	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	51	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	132	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	42	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	95	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	257	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	158	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	266	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	284	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	686	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	695	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	40	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	138	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	453	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	39	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	48	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	129	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	282	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	53	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	35	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	710	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	305	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	44	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	277	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	137	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	38	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	704	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	128	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	47	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	133	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	304	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	61	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	700	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	106	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	322	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	43	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	124	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	96	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	78	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	708	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	131	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	5	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	41	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	94	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	49	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	135	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	90	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	630	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	36	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	702	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	126	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	45	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	656	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	98	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	11	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	20	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	19	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	15	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	24	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	123	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	6	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	13	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	130	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	705	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	107	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	26	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	125	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	709	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	685	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	12	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	142	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	25	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	7	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
1141698	258	AML Reactive Library_Korea (v1.0)	BCL2-AA-00085-FM	Acute Myeloid Leukemia (AML)
